,Name,Defending,General,Mental,Passing,Mobility,Power,Rating,Shooting,Nationality,Flag,Club,club_logo,Photo
10405,E. Alexander,58,61,63,66,63,64,65,56,United States,https://cdn.sofifa.org/flags/95.png,Houston Dynamo,https://cdn.sofifa.org/teams/2/light/698.png,https://cdn.sofifa.org/players/4/19/198007.png
10406,F. Palacios Martínez,31,64,53,54,75,62,68,60,Spain,https://cdn.sofifa.org/flags/45.png,1. FC Nürnberg,https://cdn.sofifa.org/teams/2/light/171.png,https://cdn.sofifa.org/players/4/19/223095.png
10407,Luis Ruiz,64,54,55,54,65,68,66,36,Spain,https://cdn.sofifa.org/flags/45.png,CD Lugo,https://cdn.sofifa.org/teams/2/light/110831.png,https://cdn.sofifa.org/players/4/19/223607.png
10408,A. Hunter,34,59,45,53,71,60,69,58,England,https://cdn.sofifa.org/flags/14.png,Fleetwood Town,https://cdn.sofifa.org/teams/2/light/112260.png,https://cdn.sofifa.org/players/4/19/226679.png
10409,L. Owusu,64,59,56,59,72,73,69,54,Netherlands,https://cdn.sofifa.org/flags/34.png,De Graafschap,https://cdn.sofifa.org/teams/2/light/635.png,https://cdn.sofifa.org/players/4/19/232311.png
10410,J. Phojo,65,52,52,65,63,68,66,35,France,https://cdn.sofifa.org/flags/18.png,Clermont Foot 63,https://cdn.sofifa.org/teams/2/light/1815.png,https://cdn.sofifa.org/players/4/19/209784.png
10411,L. Rougeaux,66,46,54,59,53,66,67,43,France,https://cdn.sofifa.org/flags/18.png,KV Kortrijk,https://cdn.sofifa.org/teams/2/light/100081.png,https://cdn.sofifa.org/players/4/19/213368.png
10412,O. Fisher,63,59,60,59,75,61,65,38,Jamaica,https://cdn.sofifa.org/flags/82.png,DC United,https://cdn.sofifa.org/teams/2/light/688.png,https://cdn.sofifa.org/players/4/19/228216.png
10413,A. Benchaib,31,60,51,58,71,62,70,60,Belgium,https://cdn.sofifa.org/flags/7.png,Sporting Lokeren,https://cdn.sofifa.org/teams/2/light/2007.png,https://cdn.sofifa.org/players/4/19/239224.png
10414,F. Fydriszewski,25,60,49,40,53,61,68,60,Argentina,https://cdn.sofifa.org/flags/52.png,Newell's Old Boys,https://cdn.sofifa.org/teams/2/light/110396.png,https://cdn.sofifa.org/players/4/19/222585.png
10415,T. Ndenge,62,58,61,59,68,70,70,55,Germany,https://cdn.sofifa.org/flags/21.png,FC Luzern,https://cdn.sofifa.org/teams/2/light/897.png,https://cdn.sofifa.org/players/4/19/229753.png
10416,F. Flórez,61,53,58,61,62,71,68,40,Colombia,https://cdn.sofifa.org/flags/56.png,Alianza Petrolera,https://cdn.sofifa.org/teams/2/light/112579.png,https://cdn.sofifa.org/players/4/19/237177.png
10417,G. Risso Patrón,66,50,58,56,68,62,70,34,Argentina,https://cdn.sofifa.org/flags/52.png,Atlético Tucumán,https://cdn.sofifa.org/teams/2/light/111708.png,https://cdn.sofifa.org/players/4/19/241273.png
10418,T. Parkes,61,53,54,52,56,70,65,33,England,https://cdn.sofifa.org/flags/14.png,Carlisle United,https://cdn.sofifa.org/teams/2/light/1480.png,https://cdn.sofifa.org/players/4/19/194937.png
10419,J. Untersee,66,61,57,65,68,66,68,45,Switzerland,https://cdn.sofifa.org/flags/47.png,Empoli,https://cdn.sofifa.org/teams/2/light/1746.png,https://cdn.sofifa.org/players/4/19/211322.png
10420,D. Gabriele,27,60,48,52,74,64,68,61,Germany,https://cdn.sofifa.org/flags/21.png,FC Wacker Innsbruck,https://cdn.sofifa.org/teams/2/light/2045.png,https://cdn.sofifa.org/players/4/19/216442.png
10421,M. Mbaye,58,60,57,63,67,72,69,48,Senegal,https://cdn.sofifa.org/flags/136.png,Carpi,https://cdn.sofifa.org/teams/2/light/112409.png,https://cdn.sofifa.org/players/4/19/221562.png
10422,S. Lovric,59,53,61,55,56,66,71,48,Austria,https://cdn.sofifa.org/flags/4.png,SK Sturm Graz,https://cdn.sofifa.org/teams/2/light/209.png,https://cdn.sofifa.org/players/4/19/223866.png
10423,C. Kerr,63,50,52,56,74,67,69,30,Scotland,https://cdn.sofifa.org/flags/42.png,Dundee FC,https://cdn.sofifa.org/teams/2/light/180.png,https://cdn.sofifa.org/players/4/19/215419.png
10424,G. Zelalem,46,62,54,65,61,61,70,52,United States,https://cdn.sofifa.org/flags/95.png,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,https://cdn.sofifa.org/players/4/19/216699.png
10425,Song Boxuan,46,63,50,63,71,65,65,47,China PR,https://cdn.sofifa.org/flags/155.png,Tianjin Quanjian FC,https://cdn.sofifa.org/teams/2/light/112983.png,https://cdn.sofifa.org/players/4/19/221819.png
10426,Ronan,21,63,51,41,40,52,68,58,Brazil,https://cdn.sofifa.org/flags/54.png,Rio Ave FC,https://cdn.sofifa.org/teams/2/light/744.png,https://cdn.sofifa.org/players/4/19/222843.png
10427,A. Gruber,26,60,49,64,73,70,68,56,Austria,https://cdn.sofifa.org/flags/4.png,SV Mattersburg,https://cdn.sofifa.org/teams/2/light/1785.png,https://cdn.sofifa.org/players/4/19/223867.png
10428,T. Nowak,47,61,61,67,70,70,65,60,Poland,https://cdn.sofifa.org/flags/37.png,Zagłębie Sosnowiec,https://cdn.sofifa.org/teams/2/light/111089.png,https://cdn.sofifa.org/players/4/19/179579.png
10429,S. Salviato,65,56,55,56,66,76,65,54,Italy,https://cdn.sofifa.org/flags/27.png,Padova,https://cdn.sofifa.org/teams/2/light/110912.png,https://cdn.sofifa.org/players/4/19/189563.png
10430,G. Aguirre,67,55,52,52,68,66,69,33,Mexico,https://cdn.sofifa.org/flags/83.png,Club Atlas,https://cdn.sofifa.org/teams/2/light/101114.png,https://cdn.sofifa.org/players/4/19/232316.png
10431,G. Rojas,62,58,61,59,72,68,71,52,Argentina,https://cdn.sofifa.org/flags/52.png,San Lorenzo de Almagro,https://cdn.sofifa.org/teams/2/light/1013.png,https://cdn.sofifa.org/players/4/19/236668.png
10432,I. Openda,21,56,43,43,74,64,73,53,Belgium,https://cdn.sofifa.org/flags/7.png,Club Brugge KV,https://cdn.sofifa.org/teams/2/light/231.png,https://cdn.sofifa.org/players/4/19/243580.png
10433,R. Wallace,47,63,61,60,71,73,65,58,Costa Rica,https://cdn.sofifa.org/flags/72.png,New York City FC,https://cdn.sofifa.org/teams/2/light/112828.png,https://cdn.sofifa.org/players/4/19/190588.png
10434,J. Jervis,31,55,51,54,77,66,66,52,England,https://cdn.sofifa.org/flags/14.png,AFC Wimbledon,https://cdn.sofifa.org/teams/2/light/112259.png,https://cdn.sofifa.org/players/4/19/198269.png
10435,S. O'Neill,63,58,59,57,62,62,68,48,United States,https://cdn.sofifa.org/flags/95.png,Orlando City SC,https://cdn.sofifa.org/teams/2/light/112606.png,https://cdn.sofifa.org/players/4/19/211581.png
10436,J. Butez,13,17,25,18,46,53,68,17,France,https://cdn.sofifa.org/flags/18.png,Royal Excel Mouscron,https://cdn.sofifa.org/teams/2/light/111560.png,https://cdn.sofifa.org/players/4/19/225149.png
10437,Raul Asencio,17,59,50,48,68,62,72,54,Spain,https://cdn.sofifa.org/flags/45.png,Benevento,https://cdn.sofifa.org/teams/2/light/112026.png,https://cdn.sofifa.org/players/4/19/239997.png
10438,T. Hołota,62,56,59,60,58,60,65,54,Poland,https://cdn.sofifa.org/flags/37.png,Pogoń Szczecin,https://cdn.sofifa.org/teams/2/light/110746.png,https://cdn.sofifa.org/players/4/19/211070.png
10439,G. Paquiez,62,55,58,62,66,67,66,46,France,https://cdn.sofifa.org/flags/18.png,Nîmes Olympique,https://cdn.sofifa.org/teams/2/light/224.png,https://cdn.sofifa.org/players/4/19/220030.png
10440,F. Costa,28,64,45,63,70,56,65,57,Argentina,https://cdn.sofifa.org/flags/52.png,San Martin de Tucumán,https://cdn.sofifa.org/teams/2/light/111714.png,https://cdn.sofifa.org/players/4/19/223102.png
10441,N. Aankour,51,56,57,60,77,74,66,53,Morocco,https://cdn.sofifa.org/flags/129.png,Arka Gdynia,https://cdn.sofifa.org/teams/2/light/111082.png,https://cdn.sofifa.org/players/4/19/223870.png
10442,Erik Expósito,24,59,44,43,62,64,70,55,Spain,https://cdn.sofifa.org/flags/45.png,Córdoba CF,https://cdn.sofifa.org/teams/2/light/1867.png,https://cdn.sofifa.org/players/4/19/237438.png
10443,J. Donisa,36,62,50,58,65,62,68,63,France,https://cdn.sofifa.org/flags/18.png,Red Star FC,https://cdn.sofifa.org/teams/2/light/111273.png,https://cdn.sofifa.org/players/4/19/244350.png
10444,Choi Kyu Baek,66,44,52,52,64,66,68,29,Korea Republic,https://cdn.sofifa.org/flags/167.png,V-Varen Nagasaki,https://cdn.sofifa.org/teams/2/light/112448.png,https://cdn.sofifa.org/players/4/19/232831.png
10445,M. Rojas,27,62,53,63,73,58,69,58,Paraguay,https://cdn.sofifa.org/flags/58.png,Defensa y Justicia,https://cdn.sofifa.org/teams/2/light/111710.png,https://cdn.sofifa.org/players/4/19/237183.png
10446,Pedro Silva,13,11,26,19,39,44,71,12,Portugal,https://cdn.sofifa.org/flags/38.png,CD Tondela,https://cdn.sofifa.org/teams/2/light/112516.png,https://cdn.sofifa.org/players/4/19/239999.png
10447,M. Giannikoglou,13,11,28,16,44,56,67,12,Greece,https://cdn.sofifa.org/flags/22.png,AEK Athens,https://cdn.sofifa.org/teams/2/light/278.png,https://cdn.sofifa.org/players/4/19/244607.png
10448,J. Hanson,67,57,62,61,59,67,70,49,England,https://cdn.sofifa.org/flags/14.png,Oxford United,https://cdn.sofifa.org/teams/2/light/1951.png,https://cdn.sofifa.org/players/4/19/213376.png
10449,V. Demidov,64,46,52,55,45,56,65,46,Norway,https://cdn.sofifa.org/flags/36.png,Stabæk Fotball,https://cdn.sofifa.org/teams/2/light/917.png,https://cdn.sofifa.org/players/4/19/155264.png
10450,G. Rehak,16,13,23,20,40,42,68,13,Argentina,https://cdn.sofifa.org/flags/52.png,Independiente,https://cdn.sofifa.org/teams/2/light/110093.png,https://cdn.sofifa.org/players/4/19/233088.png
10451,K. Bare,49,54,60,62,64,68,70,46,Albania,https://cdn.sofifa.org/flags/1.png,Málaga CF,https://cdn.sofifa.org/teams/2/light/573.png,https://cdn.sofifa.org/players/4/19/237184.png
10452,Paulo Otávio,63,56,54,63,74,64,68,48,Brazil,https://cdn.sofifa.org/flags/54.png,FC Ingolstadt 04,https://cdn.sofifa.org/teams/2/light/111239.png,https://cdn.sofifa.org/players/4/19/208001.png
10453,N. Oroz,49,60,53,64,72,58,68,52,Argentina,https://cdn.sofifa.org/flags/52.png,CD O'Higgins,https://cdn.sofifa.org/teams/2/light/112116.png,https://cdn.sofifa.org/players/4/19/223105.png
10454,A. Walongwa,63,46,51,41,52,61,66,35,Congo,https://cdn.sofifa.org/flags/107.png,FC Nantes,https://cdn.sofifa.org/teams/2/light/71.png,https://cdn.sofifa.org/players/4/19/223873.png
10455,T. Moore,59,54,56,56,74,70,68,36,England,https://cdn.sofifa.org/flags/14.png,Plymouth Argyle,https://cdn.sofifa.org/teams/2/light/1929.png,https://cdn.sofifa.org/players/4/19/224129.png
10456,R. Yamanaka,63,60,49,63,67,71,68,41,Japan,https://cdn.sofifa.org/flags/163.png,Yokohama F. Marinos,https://cdn.sofifa.org/teams/2/light/101151.png,https://cdn.sofifa.org/players/4/19/232577.png
10457,E. Hamilton,55,61,61,63,60,64,72,58,Scotland,https://cdn.sofifa.org/flags/42.png,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,https://cdn.sofifa.org/players/4/19/240513.png
10458,R. Salinas,31,58,50,40,53,64,65,59,Argentina,https://cdn.sofifa.org/flags/52.png,Vélez Sarsfield,https://cdn.sofifa.org/teams/2/light/101088.png,https://cdn.sofifa.org/players/4/19/215170.png
10459,S. Zwierschitz,66,57,54,60,66,67,65,50,Austria,https://cdn.sofifa.org/flags/4.png,FC Admira Wacker Mödling,https://cdn.sofifa.org/teams/2/light/111821.png,https://cdn.sofifa.org/players/4/19/217730.png
10460,J. Vickers,19,17,24,27,46,51,70,17,England,https://cdn.sofifa.org/flags/14.png,Lincoln City,https://cdn.sofifa.org/teams/2/light/149.png,https://cdn.sofifa.org/players/4/19/224130.png
10461,C. Gribbin,32,64,55,64,65,61,72,59,England,https://cdn.sofifa.org/flags/14.png,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,https://cdn.sofifa.org/players/4/19/237698.png
10462,A. Stewart,64,44,51,47,62,72,66,23,England,https://cdn.sofifa.org/flags/14.png,Wycombe Wanderers,https://cdn.sofifa.org/teams/2/light/1933.png,https://cdn.sofifa.org/players/4/19/203139.png
10463,S. Tronstad,58,58,62,62,67,68,66,58,Norway,https://cdn.sofifa.org/flags/36.png,FK Haugesund,https://cdn.sofifa.org/teams/2/light/1463.png,https://cdn.sofifa.org/players/4/19/212099.png
10464,A. Castro,61,60,61,65,51,71,65,54,Mexico,https://cdn.sofifa.org/flags/83.png,Santos Laguna,https://cdn.sofifa.org/teams/2/light/110144.png,https://cdn.sofifa.org/players/4/19/158595.png
10465,C. Chaplin,33,58,51,52,78,72,70,60,England,https://cdn.sofifa.org/flags/14.png,Coventry City,https://cdn.sofifa.org/teams/2/light/1800.png,https://cdn.sofifa.org/players/4/19/225667.png
10466,D. O'Dea,65,49,56,52,41,63,65,25,Republic of Ireland,https://cdn.sofifa.org/flags/25.png,Dundee FC,https://cdn.sofifa.org/teams/2/light/180.png,https://cdn.sofifa.org/players/4/19/163203.png
10467,N. Bandiera,18,56,43,48,75,61,65,53,Argentina,https://cdn.sofifa.org/flags/52.png,Curicó Unido,https://cdn.sofifa.org/teams/2/light/112655.png,https://cdn.sofifa.org/players/4/19/232067.png
10468,A. Figueroa,63,47,51,29,62,65,65,40,Colombia,https://cdn.sofifa.org/flags/56.png,Millonarios FC,https://cdn.sofifa.org/teams/2/light/101105.png,https://cdn.sofifa.org/players/4/19/237187.png
10469,J. Sternberg,61,57,57,61,70,64,66,50,Germany,https://cdn.sofifa.org/flags/21.png,1. FC Kaiserslautern,https://cdn.sofifa.org/teams/2/light/29.png,https://cdn.sofifa.org/players/4/19/204420.png
10470,M. Blázquez,62,43,46,50,50,63,66,35,Chile,https://cdn.sofifa.org/flags/55.png,Deportes Iquique,https://cdn.sofifa.org/teams/2/light/112531.png,https://cdn.sofifa.org/players/4/19/221316.png
10471,K. Grant,33,55,47,40,77,64,72,55,England,https://cdn.sofifa.org/flags/14.png,Charlton Athletic,https://cdn.sofifa.org/teams/2/light/89.png,https://cdn.sofifa.org/players/4/19/225668.png
10472,A. Al Zain,40,61,56,60,71,61,65,55,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,Al Qadisiyah,https://cdn.sofifa.org/teams/2/light/112391.png,https://cdn.sofifa.org/players/4/19/230532.png
10473,Hwang Il Soo,26,63,55,61,81,62,65,58,Korea Republic,https://cdn.sofifa.org/flags/167.png,Ulsan Hyundai FC,https://cdn.sofifa.org/teams/2/light/1473.png,https://cdn.sofifa.org/players/4/19/199301.png
10474,T. Fountas,38,65,66,61,76,60,68,63,Greece,https://cdn.sofifa.org/flags/22.png,SKN St. Pölten,https://cdn.sofifa.org/teams/2/light/112075.png,https://cdn.sofifa.org/players/4/19/206469.png
10475,N. Quaschner,24,62,54,61,71,71,67,60,Germany,https://cdn.sofifa.org/flags/21.png,DSC Arminia Bielefeld,https://cdn.sofifa.org/teams/2/light/159.png,https://cdn.sofifa.org/players/4/19/211845.png
10476,G. Sepúlveda,66,42,56,58,50,60,65,44,Chile,https://cdn.sofifa.org/flags/55.png,San Luis de Quillota,https://cdn.sofifa.org/teams/2/light/112668.png,https://cdn.sofifa.org/players/4/19/214917.png
10477,R. Aponzá,30,52,49,60,70,63,65,50,Colombia,https://cdn.sofifa.org/flags/56.png,Jaguares de Córdoba,https://cdn.sofifa.org/teams/2/light/112903.png,https://cdn.sofifa.org/players/4/19/216710.png
10478,Lei Tenglong,63,42,50,36,66,69,66,30,China PR,https://cdn.sofifa.org/flags/155.png,Beijing Sinobo Guoan FC,https://cdn.sofifa.org/teams/2/light/111768.png,https://cdn.sofifa.org/players/4/19/219782.png
10479,S. Lo Faso,21,65,51,58,72,58,72,62,Italy,https://cdn.sofifa.org/flags/27.png,Palermo,https://cdn.sofifa.org/teams/2/light/1843.png,https://cdn.sofifa.org/players/4/19/236678.png
10480,João Reis,71,50,47,67,66,68,66,33,Portugal,https://cdn.sofifa.org/flags/38.png,CD Tondela,https://cdn.sofifa.org/teams/2/light/112516.png,https://cdn.sofifa.org/players/4/19/243590.png
10481,G. Nijholt,58,64,64,64,56,72,65,64,Netherlands,https://cdn.sofifa.org/flags/34.png,NAC Breda,https://cdn.sofifa.org/teams/2/light/1904.png,https://cdn.sofifa.org/players/4/19/186502.png
10482,S. Conneely,62,54,61,59,67,78,65,46,Republic of Ireland,https://cdn.sofifa.org/flags/25.png,Accrington Stanley,https://cdn.sofifa.org/teams/2/light/110313.png,https://cdn.sofifa.org/players/4/19/187782.png
10483,K. Conboy,63,61,62,62,67,70,65,51,Denmark,https://cdn.sofifa.org/flags/13.png,Randers FC,https://cdn.sofifa.org/teams/2/light/1786.png,https://cdn.sofifa.org/players/4/19/188807.png
10484,C. Nelson,63,53,55,50,68,81,68,37,England,https://cdn.sofifa.org/flags/14.png,Oxford United,https://cdn.sofifa.org/teams/2/light/1951.png,https://cdn.sofifa.org/players/4/19/200840.png
10485,S. Brown,17,15,30,20,58,48,65,16,England,https://cdn.sofifa.org/flags/14.png,Port Vale,https://cdn.sofifa.org/teams/2/light/1928.png,https://cdn.sofifa.org/players/4/19/152456.png
10486,Kwak Hae Seong,63,55,55,57,67,69,66,42,Korea Republic,https://cdn.sofifa.org/flags/167.png,Incheon United FC,https://cdn.sofifa.org/teams/2/light/110765.png,https://cdn.sofifa.org/players/4/19/221576.png
10487,M. Caranta,13,12,36,18,54,56,65,15,Argentina,https://cdn.sofifa.org/flags/52.png,Club Atlético Talleres,https://cdn.sofifa.org/teams/2/light/112670.png,https://cdn.sofifa.org/players/4/19/162952.png
10488,D. Bassi,14,15,31,25,47,51,65,16,Italy,https://cdn.sofifa.org/flags/27.png,Spezia,https://cdn.sofifa.org/teams/2/light/110741.png,https://cdn.sofifa.org/players/4/19/178312.png
10489,J. Kempin,12,17,26,28,51,49,66,15,United States,https://cdn.sofifa.org/flags/95.png,Columbus Crew SC,https://cdn.sofifa.org/teams/2/light/687.png,https://cdn.sofifa.org/players/4/19/201353.png
10490,Álvaro Traver,26,61,51,63,65,56,66,60,Spain,https://cdn.sofifa.org/flags/45.png,Real Sporting de Gijón,https://cdn.sofifa.org/teams/2/light/459.png,https://cdn.sofifa.org/players/4/19/230793.png
10491,F. Brustad,27,60,54,54,75,68,65,51,Norway,https://cdn.sofifa.org/flags/36.png,Hamilton Academical FC,https://cdn.sofifa.org/teams/2/light/184.png,https://cdn.sofifa.org/players/4/19/183945.png
10492,E. O'Connell,62,51,63,50,58,62,68,37,Republic of Ireland,https://cdn.sofifa.org/flags/25.png,Bury,https://cdn.sofifa.org/teams/2/light/1945.png,https://cdn.sofifa.org/players/4/19/221322.png
10493,S. Floranus,59,59,59,61,78,72,70,43,Netherlands,https://cdn.sofifa.org/flags/34.png,SC Heerenveen,https://cdn.sofifa.org/teams/2/light/1913.png,https://cdn.sofifa.org/players/4/19/233098.png
10494,Dani Suárez,64,47,53,49,54,66,65,39,Spain,https://cdn.sofifa.org/flags/45.png,Górnik Zabrze,https://cdn.sofifa.org/teams/2/light/420.png,https://cdn.sofifa.org/players/4/19/229259.png
10495,S. Olsson,55,60,59,67,60,61,70,43,Sweden,https://cdn.sofifa.org/flags/46.png,IF Elfsborg,https://cdn.sofifa.org/teams/2/light/700.png,https://cdn.sofifa.org/players/4/19/236427.png
10496,O. Verdon,67,42,46,40,50,67,68,32,Benin,https://cdn.sofifa.org/flags/99.png,FC Sochaux-Montbéliard,https://cdn.sofifa.org/teams/2/light/226.png,https://cdn.sofifa.org/players/4/19/238475.png
10497,T. Brown,63,44,51,49,63,78,65,31,Wales,https://cdn.sofifa.org/flags/50.png,Exeter City,https://cdn.sofifa.org/teams/2/light/143.png,https://cdn.sofifa.org/players/4/19/193931.png
10498,S. Ibeagha,66,46,45,50,62,63,68,27,Nigeria,https://cdn.sofifa.org/flags/133.png,New York City FC,https://cdn.sofifa.org/teams/2/light/112828.png,https://cdn.sofifa.org/players/4/19/232332.png
10499,G. Modica,62,45,57,37,59,72,66,32,Argentina,https://cdn.sofifa.org/flags/52.png,SV Wehen Wiesbaden,https://cdn.sofifa.org/teams/2/light/492.png,https://cdn.sofifa.org/players/4/19/234380.png
10500,A. Pavlović,23,58,48,42,64,67,68,56,Serbia,https://cdn.sofifa.org/flags/51.png,SK Rapid Wien,https://cdn.sofifa.org/teams/2/light/254.png,https://cdn.sofifa.org/players/4/19/234636.png
10501,M. Sylla,18,59,47,53,71,62,74,58,France,https://cdn.sofifa.org/flags/18.png,AS Monaco,https://cdn.sofifa.org/teams/2/light/69.png,https://cdn.sofifa.org/players/4/19/237708.png
10502,K. Guédé,54,55,66,55,51,68,65,58,Slovakia,https://cdn.sofifa.org/flags/43.png,SV Sandhausen,https://cdn.sofifa.org/teams/2/light/110178.png,https://cdn.sofifa.org/players/4/19/177036.png
10503,A. Østbø,16,10,33,16,42,50,67,13,Norway,https://cdn.sofifa.org/flags/36.png,Rosenborg BK,https://cdn.sofifa.org/teams/2/light/298.png,https://cdn.sofifa.org/players/4/19/186508.png
10504,J. Mills,61,62,60,64,72,74,65,50,England,https://cdn.sofifa.org/flags/14.png,Forest Green Rovers,https://cdn.sofifa.org/teams/2/light/561.png,https://cdn.sofifa.org/players/4/19/189836.png
10505,W. Marinus,35,63,54,59,68,62,68,58,Netherlands,https://cdn.sofifa.org/flags/34.png,FC Emmen,https://cdn.sofifa.org/teams/2/light/100628.png,https://cdn.sofifa.org/players/4/19/208781.png
10506,S. Al Jaman,21,63,42,59,74,70,66,54,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,Al Wehda,https://cdn.sofifa.org/teams/2/light/112408.png,https://cdn.sofifa.org/players/4/19/223629.png
10507,I. Koneh,25,70,46,47,75,58,68,59,Cameroon,https://cdn.sofifa.org/flags/103.png,Boavista FC,https://cdn.sofifa.org/teams/2/light/1898.png,https://cdn.sofifa.org/players/4/19/244365.png
10508,H. Piedra,14,20,23,21,49,52,68,17,Ecuador,https://cdn.sofifa.org/flags/57.png,No club,https://cdn.sofifa.org/flags/57.png,https://cdn.sofifa.org/players/4/19/225678.png
10509,A. Leautey,32,54,48,62,76,61,69,54,France,https://cdn.sofifa.org/flags/18.png,Chamois Niortais Football Club,https://cdn.sofifa.org/teams/2/light/1813.png,https://cdn.sofifa.org/players/4/19/237198.png
10510,T. Børven,28,57,48,47,69,67,66,64,Norway,https://cdn.sofifa.org/flags/36.png,Odds BK,https://cdn.sofifa.org/teams/2/light/1456.png,https://cdn.sofifa.org/players/4/19/193422.png
10511,L. Nielsen,65,43,50,41,52,64,65,29,Denmark,https://cdn.sofifa.org/flags/13.png,Trelleborgs FF,https://cdn.sofifa.org/teams/2/light/703.png,https://cdn.sofifa.org/players/4/19/215695.png
10512,Bruno Andrade,48,58,52,60,77,60,66,54,Portugal,https://cdn.sofifa.org/flags/38.png,Lincoln City,https://cdn.sofifa.org/teams/2/light/149.png,https://cdn.sofifa.org/players/4/19/205712.png
10513,V. Jacob,38,56,56,58,65,61,68,61,France,https://cdn.sofifa.org/flags/18.png,Chamois Niortais Football Club,https://cdn.sofifa.org/teams/2/light/1813.png,https://cdn.sofifa.org/players/4/19/225168.png
10514,R. Lacazette,60,60,61,59,69,78,68,52,France,https://cdn.sofifa.org/flags/18.png,TSV 1860 München,https://cdn.sofifa.org/teams/2/light/33.png,https://cdn.sofifa.org/players/4/19/228240.png
10515,T. Nishino,66,43,47,40,54,63,68,33,Japan,https://cdn.sofifa.org/flags/163.png,Gamba Osaka,https://cdn.sofifa.org/teams/2/light/112093.png,https://cdn.sofifa.org/players/4/19/232592.png
10516,D. Sosa,63,59,60,67,64,64,68,49,Argentina,https://cdn.sofifa.org/flags/52.png,Club Atlético Tigre,https://cdn.sofifa.org/teams/2/light/111715.png,https://cdn.sofifa.org/players/4/19/236432.png
10517,D. Kyereh,17,56,44,43,76,70,68,55,Ghana,https://cdn.sofifa.org/flags/117.png,SV Wehen Wiesbaden,https://cdn.sofifa.org/teams/2/light/492.png,https://cdn.sofifa.org/players/4/19/244112.png
10518,I. Ouédraogo,19,59,45,43,74,71,65,59,Burkina Faso,https://cdn.sofifa.org/flags/101.png,SKN St. Pölten,https://cdn.sofifa.org/teams/2/light/112075.png,https://cdn.sofifa.org/players/4/19/204689.png
10519,A. Smith-Brown,61,58,51,60,74,74,70,38,England,https://cdn.sofifa.org/flags/14.png,Plymouth Argyle,https://cdn.sofifa.org/teams/2/light/1929.png,https://cdn.sofifa.org/players/4/19/221329.png
10520,D. Atanga,39,54,52,59,79,60,70,48,Ghana,https://cdn.sofifa.org/flags/117.png,SpVgg Greuther Fürth,https://cdn.sofifa.org/teams/2/light/165.png,https://cdn.sofifa.org/players/4/19/226705.png
10521,R. Ogawa,60,54,55,61,72,65,68,48,Japan,https://cdn.sofifa.org/flags/163.png,FC Tokyo,https://cdn.sofifa.org/teams/2/light/101150.png,https://cdn.sofifa.org/players/4/19/232849.png
10522,Olabe,49,58,55,67,62,58,70,49,Spain,https://cdn.sofifa.org/flags/45.png,Extremadura UD,https://cdn.sofifa.org/teams/2/light/469.png,https://cdn.sofifa.org/players/4/19/238225.png
10523,A. Skov Olsen,32,58,51,53,72,66,72,56,Denmark,https://cdn.sofifa.org/flags/13.png,FC Nordsjælland,https://cdn.sofifa.org/teams/2/light/1788.png,https://cdn.sofifa.org/players/4/19/240017.png
10524,W. Golla,62,53,58,53,58,75,66,40,Poland,https://cdn.sofifa.org/flags/37.png,Śląsk Wrocław,https://cdn.sofifa.org/teams/2/light/111092.png,https://cdn.sofifa.org/players/4/19/205202.png
10525,A. Çeviker,65,54,58,61,58,70,66,44,Turkey,https://cdn.sofifa.org/flags/48.png,Akhisar Belediyespor,https://cdn.sofifa.org/teams/2/light/111340.png,https://cdn.sofifa.org/players/4/19/223378.png
10526,Chumi,66,51,51,50,57,66,74,39,Spain,https://cdn.sofifa.org/flags/45.png,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,https://cdn.sofifa.org/players/4/19/241810.png
10527,M. Ahlschwede,64,49,51,52,66,71,65,29,Germany,https://cdn.sofifa.org/flags/21.png,FC Würzburger Kickers,https://cdn.sofifa.org/teams/2/light/110197.png,https://cdn.sofifa.org/players/4/19/211859.png
10528,R. Dadashov,31,56,51,44,56,64,66,64,Azerbaijan,https://cdn.sofifa.org/flags/5.png,SC Preußen Münster,https://cdn.sofifa.org/teams/2/light/531.png,https://cdn.sofifa.org/players/4/19/216979.png
10529,D. Rodríguez,51,60,60,67,68,63,70,58,Argentina,https://cdn.sofifa.org/flags/52.png,Belgrano de Córdoba,https://cdn.sofifa.org/teams/2/light/111022.png,https://cdn.sofifa.org/players/4/19/222611.png
10530,A. Gerrard,63,46,53,46,43,63,65,37,Republic of Ireland,https://cdn.sofifa.org/flags/25.png,Carlisle United,https://cdn.sofifa.org/teams/2/light/1480.png,https://cdn.sofifa.org/players/4/19/158867.png
10531,O. Franco,19,56,48,42,51,68,66,57,Paraguay,https://cdn.sofifa.org/flags/58.png,Rionegro Águilas,https://cdn.sofifa.org/teams/2/light/112578.png,https://cdn.sofifa.org/players/4/19/234899.png
10532,G. Liddle,59,55,61,59,58,70,65,44,England,https://cdn.sofifa.org/flags/14.png,Carlisle United,https://cdn.sofifa.org/teams/2/light/1480.png,https://cdn.sofifa.org/players/4/19/169619.png
